feature,importance
horseCWOrank,1024.177775502205
horseWAXrank,969.8727843165398
rPaceAdvantage,965.836609184742
DSLR3,957.5798946619034
horse_career_early_pos,954.0365680456161
trainerjockeyWOA,950.9441609978676
rEXP_NFP5,928.2093077301979
pred_n_front,927.8523288369179
pred_n_back,924.714481472969
horsepaceindex,894.4481337666512
horse_keen_rate,878.1822980642319
rDrawBiasAlign,878.0079537034035
rEPF2_LR,864.655178964138
rGoingDrawAlign,864.284376680851
is_class_drop,855.29940366745
draw_quartile,848.9372442364693
recent_win_rate,839.5709930062294
horse_track_win_rate,839.1152818799019
horse_late_move_3r,831.4235736727715
rPredEarlyPos,825.2307728528976
horse_early_pos_3r,820.8776968717575
horseFSARBrank,783.5135897397995
surface_win_rate,728.9089121222496
rEPF_LR,716.2940878868103
rNFPLR10,698.4922329187393
career_win_surprise,667.8341089487076
LR_total_move,645.7685537338257
preracejockeycareerRuns,643.0281215310097
draw_pref_match,640.8029409646988
rHorseCareerEarlyPos,640.5578918457031
preracehorsecareerWOA,638.1820271015167
rHorseCareerEPF,631.7253454327583
preracehorsecareerRB,629.1467099785805
preracehorsecareerWIV,619.4640162587166
career_win_rate,612.3203308582306
draw_front_enable,607.0623052120209
draw_holdup_effect,591.0543743371964
OFS10,577.3929315209389
EXP_RB5,561.5753061771393
preracehorsecareerRuns,558.6441475152969
dist_experience,555.439653635025
LR2_total_move,514.9818671345711
rNFPLR5,507.07373690605164
rTrackStyleFit,464.668998003006
going_experience,457.5159130692482
LR_late_move,450.4249676465988
headgear_change,448.4712703227997
DSLR4,431.5552598834038
DSLR1,424.0141216516495
cd_experience,406.92417603731155
LR2_late_move,406.8627791404724
surface_runs,393.0158966779709
WgtDSLR,385.49494034051895
LR2_early_pos,369.73936009407043
course_experience,368.6868812441826
draw_front_advantage,365.8415323495865
is_stall_1,354.1645075082779
is_class_rise,349.9215416908264
LR3_total_move,347.7925806045532
unexposure_score,305.84728652238846
LR3_late_move,300.5598060488701
LR_early_pos,255.24185836315155
LR3_early_pos,248.3976736664772
horseNFPrank,247.65179896354675
LR4_EPF,218.8809534907341
LR2_EPF,217.96944046020508
LR5_EPF,200.5816844701767
pred_early_pos,196.06304252147675
FinalDSLR,194.86727035045624
horseWOArank,178.52958357334137
preracehorsecareerWins,176.39019107818604
DSLR12diff,169.5477385520935
has_headgear,167.6328582763672
LR_EPF,160.39579701423645
headgear_removed,146.2859605550766
LR3_EPF,141.77962517738342
lead_competition,136.93207967281342
pred_pace_scenario,105.95875024795532
first_time_headgear,99.82728970050812
or_off_peak,85.11135971546173
is_declining,81.80814653635025
first_at_cd,72.69782876968384
horse_track_runs,70.72270095348358
keen_rate_3r,67.32641005516052
is_widest_stall,54.86760699748993
LR10COUNT,45.998846650123596
DSLR34diff,43.568690061569214
DSLR23diff,33.977569818496704
LR10wsum,30.66317057609558
LR_was_keen,25.562910676002502
first_at_distance,15.448699593544006
is_improving,13.479510068893433
first_at_going,11.651989042758942
keen_front_risk,6.614849925041199
first_at_course,6.436590194702148
lone_front_runner,3.317239999771118
is_debut,0.0
first_on_surface,0.0
LR5wsum,0.0
LR3wsum,0.0
LR3COUNT,0.0
LR5COUNT,0.0
